Source,Alternative Names,Reference,Sp Type,System Age Myr,Age range Myr,Sp Type Err,Effective Temperature K,Temp err,Object Mass M_Solar,Accretion Diagnostic,R Band Magnitude,R Band Flux Density (erg/(s*cm^2*Å),Ha EW (Å),Ha Line Flux from R band and EW,PaB EW (Å),BrG EW (Å),Ha Line Flux (erg/(s*cm^2),Hb Line Flux (erg/(s*cm^2),Hgamma Line Flux (erg/(s*cm^2),PaB Line Flux (erg/(s*cm^2),PaG Line Flux (erg/(s*cm^2),BrG Line Flux (erg/(s*cm^2),He I 587.6 Line Flux (erg/(s*cm^2),He I 667.8 Line Flux (erg/(s*cm^2),Ca II K Line Flux (erg/(s*cm^2),Ca II H Line Flux (erg/(s*cm^2),,Line Flux Errors,PaB Line Lum (L_solar),Line Flux erg/s/cm^2,Line Luminosity (W),Log Accretion Luminosity (solar),,Object Luminosity L_solar,Object Luminosity Error,Object Radius from L and T,R_err from L and T,Object Radius R_solar,R_err,Accretion Rate M_solar yr-1,Log Accretion Rate,Object Mass Range M_solar,Object Mass Err,log object mass,Accretion Luminosity (CGS),Companion?,A_V,A_V err,A_V source,Notes/Questions,Notes/Questions2,Notes/Questions3,
ISO-Oph 129,,Natta 2006,K7,1,,,4073.80278,,,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,2.138,,2.94,,,,,,,,,,,,,,,Added SIMBAD spectral type (Ricci 2010),,
ISO-Oph 132,,Natta 2006,,1,,,4073.80278,,0.65,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,8.71E-05,PaB Luminosity,3.34E+29,-1.52E+00,,2.042,,2.88,,,,,-8.42,,,-0.19,,,,,,upper limit,,,
ISO-Oph 135,,Natta 2006,,1,,,,,,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO-Oph 138,,Natta 2006,M7.75,1,,,2630.26799,,0.03,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,1.15E-06,PaB Luminosity,4.41E+27,-4.07E+00,,0.016,,0.61,,,,,-10.38,,,-1.46,,,,,,upper limit,Added SIMBAD spectral type (Alves de Oliveira 2012),,
ISO-Oph 139,,Natta 2006,,1,,,2884.0315,,0.15,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,PaB Luminosity,3.34E+29,-7.70E-01,,,,,,,,,-7.27,,,-0.82,,,,,,upper limit,,,
ISO-Oph 140,,Natta 2006,M1,1,,,3801.89396,,0.51,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,2.51E-04,PaB Luminosity,9.64E+29,-8.90E-01,,1.445,,2.78,,,,,-7.72,,,-0.29,,,,,,,Added SIMBAD spectral type (Ricci 2010),,
ISO-Oph 142,,Natta 2006,,1,,,3548.13389,,0.37,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,2.14E-05,PaB Luminosity,8.21E+28,-2.35E+00,,0.851,,2.45,,,,,-9.1,,,-0.43,,,,,,upper limit,,,
ISO-Oph 144,,Natta 2006,,1,,,3388.44156,,0.29,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,3.98E-05,PaB Luminosity,1.53E+29,-1.98E+00,,0.550,,2.16,,,,,-8.66,,,-0.54,,,,,,upper limit,SIMBAD has spectral type but no citation (K6.5),,
ISO-Oph 147,,Natta 2006,,1,,,3981.07171,,0.60,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,4.37E-05,PaB Luminosity,1.68E+29,-1.93E+00,,1.862,,2.88,,,,,-8.81,,,-0.22,,,,,,upper limit,SIMBAD has spectral type but no citation (M2),,
ISO-Oph 148,,Natta 2006,,1,,,3388.44156,,0.28,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,PaB Luminosity,5.30E+28,-2.61E+00,,,,,,,,,-9.28,,,-0.55,,,,,,upper limit,,,
ISO-Oph 151,,Natta 2006,M3.25,1,,,3235.93657,,0.24,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,1.07E-05,PaB Luminosity,4.11E+28,-2.76E+00,,0.398,,2.01,,,,,-9.39,,,-0.62,,,,,,upper limit,Added SIMBAD spectral type (Wilking 2010),,
ISO-Oph 152,,Natta 2006,,1,,,3548.13389,,0.35,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,PaB Luminosity,3.05E+29,-1.58E+00,,,,,,,,,-8.31,,,-0.45,,,,,,upper limit,,,
ISO-Oph 154,,Natta 2006,,1,,,3630.78055,,0.41,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,4.79E-05,PaB Luminosity,1.84E+29,-1.88E+00,,0.977,,2.51,,,,,-8.65,,,-0.39,,,,,,upper limit,,,
ISO-Oph 155,,Gatti 2006,K3,1,.1-1,2.00,4730,,1.00,EW PaB  & BrG,,,,,1.30E+00,,,,,,,,,,,,,,,,,,,3.100,,2.63,,,,5.25E-09,-8.28,,,0,,,,,,,,,
ISO-Oph 155,,Natta 2006,,1,,,4265.79519,,0.81,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,5.50E-04,PaB Luminosity,2.11E+30,-4.30E-01,,3.090,,3.23,,,,,-7.39,,,-0.09,,,,,,,,,
ISO-Oph 156,,Natta 2006,M4.5,1,,,3019.95172,,0.17,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,PaB Luminosity,2.06E+28,-3.17E+00,,,,,,,,,-9.71,,,-0.76,,,,,,upper limit,Added SIMBAD spectral type (WIlking 2010),,
ISO-Oph 157,,Natta 2006,,1,,,2884.0315,,0.11,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,PaB Luminosity,1.11E+28,-2.08E+00,,,,,,,,,-8.54,,,-0.96,,,,,,upper limit,,,
ISO-Oph 161,,Natta 2006,,1,,,3981.07171,,0.60,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,PaB Luminosity,3.34E+29,-3.00E-01,,,,,,,,,-7.17,,,-0.22,,,,,,upper limit,,,
ISO-Oph 163,ISO-Oph 163,Gatti 2006,K5,1,.1-1,3.00,4350,,0.60,EW PaB  & BrG,,,,,3.30E+00,1.10E+00,,,,,,,,,,,,,,,,,,1.600,,2.23,,,,1.29E-08,-7.89,,,-0.2218487496,,,,,,,,,
ISO-Oph 163,ISO-Oph 163,Natta 2006,,1,,,3890.45145,,0.56,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,1.58E-04,PaB Luminosity,6.08E+29,-1.16E+00,,1.698,,2.88,,,,,-8.02,,,-0.25,,,,,,,,,
2MASS J16273863-2438391,"ISO-Oph 164, GY 310",Natta 2006,M8,1,,,2754.2287,,0.07,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,2.51E-06,PaB Luminosity,9.64E+27,-3.61E+00,,0.049,,0.97,,,,,-10.01,,,-1.17,,,,,,,Added SIMBAD spectral type (Manara 2015),,
2MASS J16273894-2440206,ISO-Oph 165,Manara 2015,M2.5,1,,,3500,150,0.40,Various Line Intensity,,,6.45E+01,,,,2.60E-13,,,5.00E-15,,,,,,,,,,,,-3.04E+00,,0.034,,0.50,,0.5,0.1,4.57E-11,-10.34,,0.1,-0.3979400087,,,,,,,,,
ISO-Oph 166,ISO-Oph 166,Gatti 2006,K5,1,.1-1,3.00,4350,,0.60,EW PaB  & BrG,,,,,1.70E+00,,,,,,,,,,,,,,,,,,,1.900,,2.43,,,,6.46E-09,-8.19,,,-0.2218487496,,,,,,,,,
ISO-Oph 166,ISO-Oph 166,Natta 2006,,1,,,3890.45145,,0.56,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,2.63E-04,PaB Luminosity,1.01E+30,-8.70E-01,,1.738,,2.91,,,,,-7.73,,,-0.25,,,,,,,,,
ISO-Oph 168,,Natta 2006,K5,1,,,3981.07171,,0.60,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,1.10E-04,PaB Luminosity,4.21E+29,-1.38E+00,,1.905,,2.91,,,,,-8.26,,,-0.22,,,,,,,Added SIMBAD spectral type (Torres 2006),,
ISO-Oph 169a,,Natta 2006,,1,,,3311.31121,,0.27,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.57,,companion,,,,,,,
ISO-Oph 169b,,Natta 2006,,1,,,2884.0315,,0.14,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,PaB Luminosity,3.34E+28,-2.89E+00,,,,,,,,,-9.38,,,-0.85,,companion,,,,upper limit,,,
ISO-Oph 171,,Natta 2006,,1,,,3162.27766,,,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,0.316,,1.88,,,,,,,,,,,,,,,,,
ISO-Oph 172,,Natta 2006,M2,1,,,3090.29543,,0.19,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,1.51E-05,PaB Luminosity,5.81E+28,-2.56E+00,,0.275,,1.84,,,,,-9.12,,,-0.72,,,,,,upper limit,Added SIMBAD spectral type (Wilking 2005),,
ISO-Oph 176,ISO-Oph 176,Natta 2006,M7.5,1,,,2818.38293,,0.09,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,2.40E-06,PaB Luminosity,9.21E+27,-3.64E+00,,0.078,,1.17,,,,,-10.08,,,-1.05,,,,,,upper limit,Added SIMBAD spectral type (Manara 2015),,
ISO-Oph 177,,Natta 2006,,1,,,3090.29543,,0.19,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,6.17E-06,PaB Luminosity,2.37E+28,-3.09E+00,,0.282,,1.86,,,,,-9.66,,,-0.72,,,,,,upper limit,,,
ISO-Oph 178,,Natta 2006,,1,,,3019.95172,,0.17,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,2.51E-05,PaB Luminosity,9.64E+28,-2.25E+00,,0.224,,1.73,,,,,-8.78,,,-0.77,,,,,,,,,
ISO-Oph 179,,Natta 2006,,1,,,2884.0315,,0.13,PfB,,,,,,,,,,,,,,,,,,,,PaB Luminosity,1.64E+28,-1.94E+00,,,,,,,,,-8.42,,,-0.89,,,,,,upper limit,,,
ISO-Oph 180,,Natta 2006,A7,1,,,,,,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Added SIMBAD spectral type (Wilking 2005),,
ISO-Oph 181,,Natta 2006,,1,,,,,,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO-Oph 183,,Natta 2006,,1,,,3388.44156,,0.30,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,PaB Luminosity,8.40E+28,-2.34E+00,,,,,,,,,-9.03,,,-0.52,,,,,,upper limit,,,
ISO-Oph 185,,Natta 2006,,1,,,2818.38293,,0.11,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,1.26E-06,PaB Luminosity,4.83E+27,-4.03E+00,,0.105,,1.36,,,,,-10.48,,,-0.97,,,,,,upper limit,,,
ISO-Oph 186,,Natta 2006,,1,,,2818.38293,,0.11,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,PaB Luminosity,3.58E+28,-2.84E+00,,,,,,,,,-9.29,,,-0.97,,,,,,upper limit,,,
ISO-Oph 187,,Natta 2006,,1,,,3235.93657,,0.24,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,1.23E-04,PaB Luminosity,4.72E+29,-1.32E+00,,0.407,,2.04,,,,,-7.95,,,-0.62,,,,,,,Added SIMBAD spectral type (Cohen 1979),,
ISO-Oph 189,,Natta 2006,M1.5,1,,,2884.0315,,0.14,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,-2.61E+00,,,,,,,,,-9.1,,,-0.86,,,,,,upper limit,,,
ISO-Oph 190,,Natta 2006,,1,,,2754.2287,,,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,0.043,,0.91,,,,,,,,,,,,,,,,,
ISO-Oph 192,,Natta 2006,,1,,,2818.38293,,0.09,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,-2.79E+00,,,,,,,,,-9.23,,,-1.04,,,,,,upper limit,,,
ISO-Oph 193,ISO-Oph 193,Manara 2015,M6,1,,,3000,50,0.11,Various Line Intensity,,,9 8.36,,,,4.37E-13,,,1.60E-14,1.00E-14,,,,,,,,,,,-2.86E+00,,0.072,,1.00,,1,0.07,5.01E-10,-9.3,,,-0.9586073148,,,,,,,,,
ISO-Oph 193,ISO-Oph 193,Natta 2006,,1,,,2818.38293,,0.09,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,8.51E-06,,,-2.89E+00,,0.078,,1.17,,,,,-9.32,,,-1.05,,,,,,,,,
ISO-Oph 194,,Natta 2006,,1,,,3019.95172,,0.17,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,6.46E-06,,,-3.06E+00,,0.229,,1.75,,,,,-9.6,,,-0.77,,,,,,upper limit,,,
ISO-Oph 195,,Natta 2006,,1,,,3630.78055,,0.39,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,3.63E-05,,,-2.03E+00,,0.912,,2.42,,,,,-8.79,,,-0.41,,,,,,,,,
ISO-Oph 196,,Natta 2006,M4,1,,,3090.29543,,0.19,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,4.90E-05,,,-1.86E+00,,0.282,,1.86,,,,,-8.43,,,-0.72,,,,,,,Added SIMBAD spectral type (Ricci 2010),,
ISO-Oph 197,,Natta 2006,,1,,,2818.38293,,0.08,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,-3.32E+00,,,,,,,,,-9.74,,,-1.1,,,,,,upper limit,,,
ISO-Oph 198,,Natta 2006,G7,1,,,4677.35141,,1.17,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,-1.47E+00,,,,,,,,,-8.52,,,0.07,,,,,,upper limit,Added SIMBAD spectral type (Wilking 2005),,
ISO-Oph 199,,Natta 2006,,1,,,3715.35229,,0.42,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,8.71E-05,,,-1.53E+00,,1.047,,2.48,,,,,-8.31,,,-0.38,,,,,,,,,
2MASS J11095215-7639128,"ISO217, ISO-ChaI 217",Muzerolle 2005,M6.25,2,,,2962,,0.08,Ha 10% width,,,6.61E+01,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,-10,,,,,,,,,,disk classification from Luhman et al. 2008,,
2MASS J11104141-7720480,"ISO252, ISO-ChaI 252",Muzerolle 2005,M6,2,,,2990,,0.08,Ha 10% width,20.06,1.70E-17,1.73E+02,2.94E-15,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,-10,,,,,,,,,,disk classification from Luhman et al. 2008,,
2MASS J06443291+0023546,,Kalari 2015,F0V,4,3-5,1.00,7244.3596,850,1.79,Ha Line Strength,17.02,2.80E-16,2.38E+01,6.66E-15,,,,,,,,,,,,,,,,,,2.80E-01,,,,,,,,1.20E-07,-6.92,,,0.252853031,,,3.1,,,,,R-band magnitudes from Cusano (2011),
2MASS J06443294+0010528,,Kalari 2015,F4V,3.5,2.5-4.5,1.00,6456.54229,750,1.83,Ha Line Strength,18.21,9.36E-17,1.39E+02,1.30E-14,,,,,,,,,,,,,,,,,,9.50E-01,,,,,,,,5.75E-07,-6.24,,,0.2624510897,,,3.64,,,,,,
2MASS J06443541+0019093,,Kalari 2015,F2V,5.6,4.6-6.6,1.00,6760.829754,800,1.57,Ha Line Strength,17.40,1.97E-06,4.20E+00,8.27E-06,,,,,,,,,,,,,,,,,,-7.10E-01,,,,,,,,1.17E-08,-7.93,,,0.1958996524,,,3,,,,,,
2MASS J06443682+0016186,,Kalari 2015,A8V,5.5,4.5-6.5,1.00,7585.77575,750,1.60,Ha Line Strength,16.98,2.91E-16,8.40E+00,2.44E-15,,,,,,,,,,,,,,,,,,-2.60E-01,,,,,,,,3.16E-08,-7.5,,,0.2041199827,,,1.9,,,,,,
2MASS J06443788+0021509,,Kalari 2015,F0V,3.9,2.9-4.9,1.00,7244.3596,850,1.79,Ha Line Strength,16.30,5.44E-16,2.80E+00,1.52E-15,,,,,,,,,,,,,,,,,,-6.50E-01,,,,,,,,1.41E-08,-7.85,,,0.252853031,,,2.28,,,,,,
2MASS J06443827+0019229,,Kalari 2015,F2V,10.9,9.9-11.9,1.00,6760.82975,800,1.26,Ha Line Strength,17.08,2.65E-16,1.17E+01,3.10E-15,,,,,,,,,,,,,,,,,,-6.00E-01,,,,,,,,1.26E-08,-7.9,,,0.1003705451,,,1.3,,,,,,
2MASS J06444496+0019335,,Kalari 2015,F8V,3.3,2.3-4.3,1.00,6025.595861,700,1.75,Ha Line Strength,17.26,2.25E-16,8.80E+00,1.98E-15,,,,,,,,,,,,,,,,,,-4.60E-01,,,,,,,,2.04E-08,-7.69,,,0.2430380487,,,2.52,,,,,,
2MASS J06444602+0019182,,Kalari 2015,G0V,3.8,2.8-4.8,1.00,5888.43655,700,1.57,Ha Line Strength,21.85,3.28E-18,7.32E+01,2.40E-16,,,,,,,,,,,,,,,,,,2.90E-01,,,,,,,,1.10E-07,-6.96,,,0.1958996524,,,5.63,,,,,,
2MASS J06444714+0013320,,Kalari 2015,K2V,0.9,0-2,1.00,4786.30092,550,0.91,Ha Line Strength,18.51,7.10E-17,2.05E+01,1.46E-15,,,,,,,,,,,,,,,,,,-6.00E-01,,,,,,,,2.45E-08,-7.61,,,-0.04095860768,,,2.15,,,,,,
2MASS J06444936+0020245,,Kalari 2015,G5V,4.3,3.3-5.3,1.00,5623.41325,650,1.36,Ha Line Strength,17.97,1.17E-16,1.49E+01,1.74E-15,,,,,,,,,,,,,,,,,,-6.70E-01,,,,,,,,1.12E-08,-7.95,,,0.1335389084,,,1.7,,,,,,
2MASS J06445577+0013168,,Kalari 2015,F2,2.7,1.7-3.7,1.50,7413.102413,800,2.08,Ha Line Strength,,,8.23E+00,,,,,,,,,,,,,,,,,,,-4.00E-02,,,,,,,,6.31E-08,-7.2,,,0.318063335,,,1.93,0.15,,,,,
2MASS J06445837+0014151,,Kalari 2015,F0,3,2-4,1.50,7079.457844,800,2.00,Ha Line Strength,,,2.66E+01,,,,,,,,,,,,,,,,,,,3.80E-01,,,,,,,,1.62E-07,-6.79,,,0.3010299957,,,2.45,0.15,,,,,
2MASS J06450075+0013356,,Kalari 2015,K0V,1.5,.5-2.5,1.00,4897.78819,550,1.05,Ha Line Strength,20.24,1.44E-17,3.17E+01,4.56E-16,,,,,,,,,,,,,,,,,,-4.90E-01,,,,,,,,2.45E-08,-7.61,1100,,0.02118929907,,,1.89,,,,,,
2MASS J06450208+0019443,,Kalari 2015,A5V,4.1,3.1-5.1,1.00,8128.305162,800,1.75,Ha Line Strength,16.56,4.28E-16,4.36E+01,1.86E-14,,,,,,,,,,,,,,,,,,4.80E-01,,,,,,,,1.51E-07,-6.82,,,0.2430380487,,,2.45,0.15,,,,,
2MASS J06450274+0018077,,Kalari 2015,F3V,9.5,8.5-10.5,1.00,6918.30971,800,1.30,Ha Line Strength,18.66,6.19E-17,3.37E+01,2.09E-15,,,,,,,,,,,,,,,,,,-7.00E-02,,,,,,,,4.37E-08,-7.36,,,0.1139433523,,,3.14,,,,,,
2MASS J06450681+0013535,,Kalari 2015,G0V,2,1-3,1.00,5888.43655,700,2.16,Ha Line Strength,15.83,8.38E-16,1.90E+00,1.59E-15,,,,,,,,,,,,,,,,,,-9.20E-01,,,,,,,,8.51E-09,-8.07,,,0.3344537512,,,2.06,0.15,,,,,
2MASS J06450971+0014121,,Kalari 2015,A5V,1.5,.5-2.5,1.00,8128.305162,950,2.62,Ha Line Strength,15.05,1.72E-15,1.40E+01,2.41E-14,,,,,,,,,,,,,,,,,,5.30E-01,,,,,,,,2.19E-07,-6.66,,,0.4183012913,,,2.11,,,,,,
2MASS J06451318+0018307,,Kalari 2015,G0V,9.3,8.3-10.3,1.00,5888.436554,700,1.15,Ha Line Strength,19.21,3.73E-17,4.05E+01,1.51E-15,,,,,,,,,,,,,,,,,,-3.80E-01,,,,,,,,2.00E-08,-7.7,,,0.06069784035,,,2.64,,,,,,
2MASS J06451616+0022238,,Kalari 2015,F3V,14.8,13.8-15.8,1.00,6918.30971,800,1.23,Ha Line Strength,18.99,4.56E-17,5.30E+00,2.42E-16,,,,,,,,,,,,,,,,,,-1.09E+00,,,,,,,,3.47E-09,-8.46,,,0.08990511144,,,3.84,,,,,,
2MASS J06451701+0022077,,Kalari 2015,A0V,7.5,6.5-8.5,1.00,9549.92586,1100,2.00,Ha Line Strength,17.28,2.21E-16,1.03E+01,2.28E-15,,,,,,,,,,,,,,,,,,-7.00E-02,,,,,,,,3.55E-08,-7.45,,,0.3010299957,,,3.82,,,,,,
2MASS J06451727+0023454,,Kalari 2015,F2V,5.6,4.6-6.6,1.00,6760.82975,800,1.57,Ha Line Strength,17.54,1.74E-16,1.66E+01,2.88E-15,,,,,,,,,,,,,,,,,,-1.10E-01,,,,,,,,4.68E-08,-7.33,,,0.1958996524,,,2.69,,,,,,
2MASS J06451841+0022189,,Kalari 2015,G4V,8.5,7.5-9.5,1.00,5623.413252,650,1.12,Ha Line Strength,18.15,9.90E-17,5.20E+00,5.15E-16,,,,,,,,,,,,,,,,,,-1.36E+00,,,,,,,,2.09E-09,-8.68,,,0.04921802267,,,1.05,,,,,,
2MASS J06452454+0022448,,Kalari 2015,G8V,1,0-2,1.00,5370.31796,600,1.66,Ha Line Strength,18.97,4.65E-17,2.12E+01,9.85E-16,,,,,,,,,,,,,,,,,,-1.80E-01,,,,,,,,4.47E-08,-7.35,,,0.220108088,,,2.33,,,,,,
2MASS J06452774+0015514,,Kalari 2015,K4V,0.9,0-2,1.00,4365.15832,500,0.56,Ha Line Strength,20.22,1.47E-17,2.90E+01,4.26E-16,,,,,,,,,,,,,,,,,,-8.00E-01,,,,,,,,2.19E-08,-7.66,,,-0.251811973,,,2.77,,,,,,
2MASS J04174955+2813318,,Mohanty 2005,M5.0,1,,,3125,,0.16,Ca II,,,6.67E+01,,,,,,,,,,,,,,,,,4.58E+00,,,,,,,,,,3.16E-11,-10.5,,,,,,,,,upper limit,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1,,
2MASS J04174955+2813318,,Mohanty 2005,M5.0,1,,,3125,,0.16,Ca II,,,6.67E+01,,,,,,,,,,,,,,,,,4.58E+00,,,,,,,,,,2.00E-11,-10.7,,,,,,,,,upper limit,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3,,
2MASS J04183030+2743208,,Mohanty 2005,M5.5,1,,,3050,,0.13,Ca II,,,1.77E+01,,,,,,,,,,,,,,,,,4.52E+00,,,,,,,,,,2.51E-11,-10.6,,,,,,,,,upper limit,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1,,
2MASS J04183030+2743208,,Mohanty 2005,M5.5,1,,,3050,,0.13,Ca II,,,1.77E+01,,,,,,,,,,,,,,,,,4.52E+00,,,,,,,,,,1.58E-11,-10.8,,,,,,,,,upper limit,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3,,
2MASS J04330781+2616066,,Muzerolle 2005,M6,1,,,2990,,0.10,Ha 10% width,,,1.40E+01,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,-12,,,,,,,,,upper limit,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04262939+2624137,,Mohanty 2005,M6.0,1,,,3000,,0.08,Ca II,,,9.77E+01,,,,,,,,,,,,,,,,,5.18E+00,,,,,,,,,,1.26E-10,-9.9,,,,,,,,,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1,,
2MASS J04262939+2624137,,Mohanty 2005,M6.0,1,,,3000,,0.08,Ca II,,,9.77E+01,,,,,,,,,,,,,,,,,5.18E+00,,,,,,,,,,6.31E-11,-10.2,,,,,,,,,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3,,
2MASS J04262939+2624137,,Muzerolle 2005,M6,1,,,2990,,0.08,Ha 10% width,,,1.45E+02,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,-10,,,,,,,,,,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J19013357-3700304,LS-RCrA 1,Mohanty 2005,M6.5,10,,,2950,,0.08,Ca II,,,5.30E+01,,,,,,,,,,,,,,,,,6.50E+00,,,,,,,,,,3.16E-09,-8.5,,,,,,,,,,SED class from Fernadez and Comeron 2001 Accretion rate equation 1,,
2MASS J19013357-3700304,LS-RCrA 1,Mohanty 2005,M6.5,10,,,2950,,0.08,Ca II,,,5.30E+01,,,,,,,,,,,,,,,,,6.50E+00,,,,,,,,,,1.00E-09,-9,,,,,,,,,,SED class from Fernadez and Comeron 2001 Accretion rate equation 3,,
Lup604s,,Alcala 2017,M5.5,3,3-10,0.50,3.06E+03,7.00E+01,0.13,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,,,,,,,,,,,,,,,,,-3.70E+00,,,,,,0.83,0.19,5.01E-11,-1.03E+01,,2.00E-02,-8.86E-01,,,,,,,,,
Lup607,,Alcala 2017,M6.5,3,3-10,0.50,2.94E+03,6.60E+01,0.10,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,,9.81E-16,1.55E-16,6.79E-17,,,,,,,,,,,,,-4.90E+00,,,,,,1.03,0.27,5.01E-12,-1.13E+01,,1.00E-02,-1.00E+00,,,,,,upper limit,,,
Lup713,,Alcala 2017,M5.5,3,3-10,0.50,3.06E+03,7.00E+01,0.11,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,,,,,,,,,,,,,,,,,-3.50E+00,,,,,,0.52,0.12,6.31E-11,-1.02E+01,,2.00E-02,-9.59E-01,,,,,,,,,
Lup818s,,Alcala 2017,M6,3,3-10,0.50,2.99E+03,6.70E+01,0.10,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,,,,,,,,,,,,,,,,,-4.10E+00,,,,,,0.58,0.13,2.00E-11,-1.07E+01,,1.00E-02,-1.00E+00,,,,,,,,,
MHO 5,,Mohanty 2005,M6.0,1,,,3000,,0.10,Ca II,,,3.70E+01,,,,,,,,,,,,,,,,,4.48E+00,,,,,,,,,,2.00E-11,-10.7,,,,,,,,,upper limit,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1,,
MHO 5,,Mohanty 2005,M6.0,1,,,3000,,0.10,Ca II,,,3.70E+01,,,,,,,,,,,,,,,,,4.48E+00,,,,,,,,,,1.26E-11,-10.9,,,,,,,,,upper limit,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3,,
MHO 6,,Muzerolle 2003,M4.75,0.43,,,,,0.13,Ha 10% width,,,2.50E+01,,,,,,,,,,,,,,,,,,,2.07E-07,,0.069,,,,1,,5.01E-11,-10.3,0.13,,-0.8860566477,8.28E+26,,0.86,,,,disk classification from LUHMAN ET AL. JAN 2010,,
MYLup,,Alcala 2017,K0,3,3-10,1.00,5.10E+03,2.35E+02,1.02,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,,6.04E-14,,,,,,,,,,,,,,,-2.30E+00,,,,,,1.13,0.24,2.24E-10,-9.65E+00,,1.30E-01,8.60E-03,,,,,,upper limit,,,
Par-Lup3-3,,Alcala 2017,M4,3,3-10,0.50,3.27E+03,7.50E+01,0.26,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,,,,,,,,,,,,,,,,,-2.90E+00,,,,,,1.59,0.37,3.09E-10,-9.51E+00,,3.00E-02,-5.85E-01,,,,,,,,,
Par-Lup3-4,,Alcala 2017,M4.5,3,3-10,0.50,3.20E+03,7.40E+01,0.16,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,,,,,,,,,,,,,,,,,-4.10E+00,,,,,,0.17,0.04,3.16E-12,-1.15E+01,,2.00E-02,-7.96E-01,,,,,,,,,
